1.9891,1.392,1,273.95,25.38,0,2.25,0,7.25,5855,8,0,0
0.33,4879,5429,3.7,4222.6,57.9,88,0.206,0.034,167,0,0,1
4.87,12104,5243,8.9,2802,108.2,224.7,0.007,177.4,464,0,0,0
5.97,12756,5514,9.8,24,149.6,365.2,0.017,23.4,15,1,0,1
0.642,6792,3934,3.7,24.7,228,687,0.094,25.2,-65,2,0,0
1898,142984,1326,23.1,9.9,778.5,4331,0.049,3.1,-110,79,1,1
568,120536,687,9,10.7,1432,10747,0.052,26.7,-140,82,1,1
86.8,51118,1270,8.7,17.2,2867,30589,0.047,97.8,-195,27,1,1
102,49528,1638,11,16.1,4515,59800,0.01,28.3,-200,14,1,1
